taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,NSW,2750,26421,26265,1541818524,22448,320918906,21001,340829894,1252,5019650,22589,1371595904,22109,337513969,1636,9982535,1409,16001043,164,2586802,306,9148979,26290,1607545051,1179,2398714,9774,3571185,21161,64457791,2417,15662007,3365,63882407,1212,10616385,2207,-17766536,12786,3765493,13717,11709,7217975
2017/2018,NSW,2751,215,212,14209096,170,3761900,160,3994484,3,6681,158,10653922,155,2803365,7,67869,6,72972,2,2429,1,40217,212,14901834,5,17036,58,13643,162,692738,26,250669,46,974501,23,221675,24,-204306,90,26156,117,102,70080
2017/2018,NSW,2752,3174,3158,191789772,2718,40454840,2602,43125075,116,467237,2720,172657729,2664,42561164,97,580567,91,1044070,36,849737,15,492726,3162,200397052,118,209838,1026,269214,2614,8483634,258,1757454,549,10279813,191,1543472,363,-2886093,1493,444090,1860,1581,980514
2017/2018,NSW,2753,10114,10048,585740366,8527,123577564,7877,130396038,343,1276384,8120,479979404,7901,116992118,538,3181110,511,6036480,74,1056759,149,4058569,10062,610451720,406,676865,3118,1260216,7896,24248368,800,5796755,1711,37110035,799,8845403,929,-7282934,4928,1510433,5476,4580,2908115
2017/2018,NSW,2754,3569,3548,201275595,2974,41830440,2762,43968465,149,596262,2831,167601242,2767,40648110,175,1008759,222,2491800,25,527734,75,2254745,3555,209719218,152,198931,1185,450413,2848,8197976,309,2329810,507,10653829,247,2435237,265,-2000225,1754,531238,2045,1730,1176258
2017/2018,NSW,2755,71,71,5015222,67,1117604,66,1139029,5,11718,65,4925295,64,1228720,2,12144,1,21803,1,1532,0,0,71,5256372,4,13199,41,8516,63,241150,3,12884,17,371763,6,14647,11,-113535,39,8226,15,12,5695
2017/2018,NSW,2756,20911,20763,1272932294,17947,275398371,16851,291823707,686,2677085,17399,1056106054,16897,259017042,920,5498155,837,9817357,142,2455002,171,4914509,20798,1326057693,806,1303736,6689,2186050,16613,51369247,1644,11646378,3042,63840266,1318,13076789,1766,-14220956,10279,3103883,12103,10154,6553951
2017/2018,NSW,2757,589,580,33534489,480,7057569,439,7471882,18,68209,445,26313196,433,6289699,25,144503,25,307110,3,95108,7,219943,585,35936221,16,22451,165,61346,455,1563809,62,465492,109,2214964,57,604581,56,-386184,269,82414,363,305,218934
2017/2018,NSW,2758,5602,5554,344975799,4609,76928779,4263,81485361,177,697223,4307,275221281,4133,70587578,166,1007969,216,2550837,53,1085510,71,2009488,5577,363120292,194,359452,1635,3776538,4315,17336798,601,5106623,1104,23029417,507,5337931,600,-5075230,2416,752790,3724,3117,2101980
2017/2018,NSW,2759,16257,16143,920352791,14114,183118890,13393,195151068,645,2541558,14347,859293090,14085,205955802,782,4499784,614,6768987,117,1819159,85,2495269,16152,960601129,617,1025692,6503,1971598,13474,39945502,1564,9929461,2241,42566387,707,5140288,1572,-13003291,8532,2509719,7767,6637,3920276
2017/2018,NSW,2760,18577,18427,976971667,15958,185213224,15008,197331309,691,2577998,16558,912364008,16297,209733885,1588,9814313,888,10759846,88,920898,100,2433660,18429,1018196132,808,1384576,6749,2596539,15051,41030757,1124,5055720,1675,29768012,484,3986175,1271,-10086153,10333,3014043,5984,5325,2844279
2017/2018,NSW,2761,19220,19049,1047705521,16462,203572068,15679,217846723,950,3718679,17333,1009273008,17008,239384006,1187,6519733,517,5886127,93,921292,56,1244411,19060,1092279859,826,1499195,7675,3077328,15814,43928637,1536,7844281,2409,41600460,589,3460563,1892,-15990389,10276,2997707,7466,6521,3415207
2017/2018,NSW,2762,6338,6265,395609503,5460,84723614,5235,90566094,314,1286327,5605,374857269,5485,94883195,255,1332537,131,1430447,19,183418,23,744794,6271,410479033,360,721306,1996,764407,5102,14620032,415,1910570,892,15661850,197,1480629,732,-6319026,2874,840623,3666,3191,1754651
2017/2018,NSW,2763,18664,18495,1087031724,15831,224021487,15015,239280155,888,3568808,16400,1027738907,16067,254294003,873,5247420,515,5867139,96,1183457,104,2618740,18503,1127929436,848,1645857,6747,2816345,14937,40667675,1790,11200961,2854,50840456,743,5227844,2194,-20165549,8950,2655502,10405,8928,5260866
2017/2018,NSW,2765,12092,11989,772833426,10408,172867982,9805,183712743,556,2411236,9965,625415432,9724,154676733,481,2894515,396,5230503,54,1053398,55,1453991,11993,804818470,530,986091,3713,2749484,9564,31413431,918,6847734,1996,45029798,880,9548361,1171,-10538427,5673,1708850,7037,6043,3844234
2017/2018,NSW,2766,9024,8934,475251431,7636,90925010,7209,96974788,405,1552217,7976,449087812,7851,105201034,542,3158325,322,4026002,58,617829,42,997880,8939,494353199,405,787118,3396,1451675,7256,18790648,692,3559107,1096,19424365,288,2184310,833,-7158811,4898,1432948,3256,2828,1465681
2017/2018,NSW,2767,13395,13269,708038453,11269,136070395,10684,145436762,655,2652734,11856,677605913,11627,160845004,900,5578671,427,4919740,56,706100,41,1137596,13273,736485514,650,1281039,5105,2139327,10643,28281696,1136,7090752,2076,39111205,570,3975828,1561,-14284899,7131,2139027,5462,4804,2574541
2017/2018,NSW,2768,16275,16134,1045735465,13652,233263060,12992,248220762,897,4002180,14058,973741661,13677,255274182,569,3232361,385,4400059,80,1040752,82,2106223,16149,1086778818,796,1814561,5570,3018522,12840,40235219,1776,12009749,3644,76071443,817,5396578,2915,-31643523,7016,2119076,10369,8860,5376908
2017/2018,NSW,2769,7741,7666,547706537,6647,127858266,6377,136622778,359,1596346,6728,518496501,6578,140570224,192,1033178,160,1707982,15,240302,21,676504,7669,570178649,446,1122068,2666,1320586,6234,22002364,731,4223066,1875,37458018,285,1994151,1689,-18569735,3026,894809,5226,4613,2701157
2017/2018,NSW,2770,28026,27756,1326001478,23296,233100976,21587,247501116,894,3488938,24746,1245810548,24273,278798695,3364,21956201,1535,19713731,105,1296111,106,2564432,27761,1383960785,1025,1860056,9698,4533656,21744,57647927,1567,7429803,2115,35761917,666,4105161,1491,-11770285,16133,4903510,6413,5524,2880997
2017/2018,NSW,2773,3874,3851,282561589,3145,69911693,2939,73439028,185,826199,3038,223487404,2948,62242124,136,665503,179,1937590,47,1164413,78,2498465,3856,294561071,157,386191,1519,1109423,3039,11728295,558,4901321,767,17666529,340,3133852,437,-4146632,1404,431594,2926,2318,1636130
2017/2018,NSW,2774,7950,7896,505032535,6521,113835346,6135,120211834,442,1787465,6521,437536249,6352,115406616,330,1856645,379,3876253,76,1808441,141,4580605,7906,525120389,353,715430,3076,1831665,6215,19875642,993,8268688,1321,24993245,544,4014533,794,-6499001,3244,986845,5363,4439,2913938
2017/2018,NSW,2775,883,871,49999775,734,10720817,667,11140337,16,53276,652,36596265,629,8838993,41,255994,54,773258,11,225677,8,221330,874,52330452,24,45432,235,96299,663,2130117,56,371014,131,6174557,80,2618805,53,-379809,447,145883,521,445,278080
2017/2018,NSW,2776,2526,2509,155757462,2109,33973122,1977,35726854,141,544780,2092,133697361,2027,34515978,112,661579,130,1341360,30,845581,44,1667739,2511,162217240,115,234885,997,513271,1994,6396302,296,2382225,413,7162339,177,1537654,240,-1685620,1112,335336,1647,1373,897482
2017/2018,NSW,2777,10801,10729,654441665,8891,141973395,8274,149524944,502,2031709,8693,557821123,8460,143706408,439,2437400,604,6744629,128,3178556,237,6892918,10745,680903933,420,723010,4265,2034896,8483,26152437,1357,10476853,1734,32079499,729,6099538,1026,-7216555,4613,1438117,7217,5953,3952392
2017/2018,NSW,2778,1536,1532,89417995,1252,18987050,1153,19915737,69,304547,1221,74755350,1200,19090002,82,529074,81,1020996,14,275320,23,802445,1533,92986495,68,121723,548,356406,1170,3557851,172,1264997,209,4176275,112,989782,101,-839113,671,206435,939,790,492557
2017/2018,NSW,2779,2860,2839,157574225,2363,31851190,2175,33506715,134,481982,2349,138140082,2295,34052787,198,1156093,186,1973931,31,436104,46,1478541,2838,163443139,141,271274,1087,410010,2239,5737353,305,2138037,311,4984111,149,1066666,171,-968338,1344,415352,1565,1325,798684
2017/2018,NSW,2780,7719,7646,392314708,6083,79063208,5385,82193412,296,1196708,5504,284017767,5316,68464483,658,4087659,575,6867695,88,1272144,137,4161859,7661,407939912,252,513485,2264,1807020,5433,15426079,614,4646981,1051,22878093,642,7112224,421,-2934967,3798,1230344,3786,3247,2163930
2017/2018,NSW,2782,3504,3479,202274415,2765,44385780,2480,46359648,131,543335,2413,145572144,2322,37457161,177,1141070,289,3333175,47,773967,67,2100128,3484,211215819,122,315532,1231,983847,2632,8760844,384,3135446,553,11510690,326,3533349,238,-1563958,1482,465189,2135,1828,1323095
2017/2018,NSW,2783,1587,1577,84749217,1314,16739510,1214,17614869,89,343159,1272,71416680,1243,17327629,115,719318,96,1079579,20,327628,31,848895,1579,88245892,67,154380,584,280486,1207,3426216,156,1147663,188,3458350,97,820559,92,-690143,799,249027,799,690,410998
2017/2018,NSW,2784,744,733,39372922,587,8000560,539,8476889,25,102828,579,33677702,562,8451991,45,282364,50,500022,8,30781,11,311167,734,40964507,30,49788,243,123870,531,1561298,69,495582,101,1539209,50,391583,52,-336434,331,104566,426,362,230453
2017/2018,NSW,2785,2679,2655,137924171,2089,28169057,1854,29418592,95,389952,1793,101243092,1723,25547253,174,1151520,209,2368482,30,484740,43,1511760,2663,143705751,86,162061,920,671175,1962,5546064,260,2082846,442,8796000,264,2799445,183,-1083784,1266,410096,1612,1412,969142
2017/2018,NSW,2786,693,683,34149573,537,6654973,483,6918850,20,93352,482,26106756,460,6427621,57,355517,51,559445,5,110542,13,670056,683,35781745,26,43277,208,200704,513,1603667,69,467879,100,2409291,59,847567,41,-283799,331,106461,372,317,205254
2017/2018,NSW,2787,2427,2404,122171229,1954,24333386,1784,25437265,43,164100,1799,101522227,1750,24112802,135,819130,167,1924274,25,359944,25,728987,2408,127861448,78,115258,626,214622,1826,5037503,295,1196128,297,5066366,155,1470794,145,-783473,1151,357763,1349,1143,654441
2017/2018,NSW,2790,7493,7422,417824748,6077,87499643,5579,92044114,206,803955,5879,361479901,5751,90766430,626,4238986,540,6306031,69,1214233,105,2570546,7448,432871844,241,418894,2787,1048296,5854,14313581,912,5867573,903,16105571,468,3748369,440,-2858215,3549,1113084,4596,3582,2318397
2017/2018,NSW,2791,160,160,7897256,128,1537889,115,1604375,5,29905,113,5347672,104,1206763,14,99174,11,143935,2,81812,2,46817,160,8448048,8,18039,42,12812,118,489807,16,155112,35,1001208,26,341980,8,-16198,78,23201,104,93,64481
2017/2018,NSW,2792,211,209,10166444,150,2252500,133,2264893,4,12724,140,6684819,131,1560934,14,71917,12,164602,1,3606,3,65323,210,11256713,7,10176,38,9874,140,637858,8,48416,39,776636,21,291511,22,-113673,88,28466,131,113,73703
2017/2018,NSW,2793,484,476,23409916,354,5529079,305,5638658,8,23801,326,14949681,310,3511319,62,451766,43,425493,0,0,4,88873,481,24503679,10,11020,103,57511,306,847726,28,207766,53,841729,35,218789,19,-109422,248,83258,269,241,146725
2017/2018,NSW,2794,5511,5451,249570622,4383,45503478,3914,47298278,116,442003,3968,184537498,3860,39735075,508,3209868,488,5897607,39,688093,47,1319427,5485,263630194,167,328952,1420,490844,3986,12174221,370,2834760,648,10680609,398,3303401,250,-1057164,3042,969753,2959,2554,1439025
2017/2018,NSW,2795,23409,23191,1296805003,19361,268138082,17851,282460767,1007,3849521,18943,1077875504,18482,260176022,1869,11791227,1370,15408546,231,5446656,183,4452506,23284,1353925981,853,1627836,7853,2844693,18062,53425565,2553,17900118,3216,57636954,1599,13579794,1637,-10402075,11391,3505291,13560,11384,6733958
2017/2018,NSW,2797,237,231,10695447,186,1979763,170,2054311,4,13020,169,9008006,165,2086416,18,100440,20,194979,2,7509,3,103871,234,11267462,5,6383,68,13748,170,448671,18,109085,26,322820,13,50402,12,-48121,122,37986,149,131,77110
2017/2018,NSW,2798,1278,1260,83217888,1036,20394876,956,21265694,53,233660,957,62730934,939,16451689,49,319969,70,816810,10,190620,9,237667,1276,87482021,40,75789,414,175851,968,3859438,118,943710,256,4610734,120,945105,136,-822441,538,167456,967,824,541690
2017/2018,NSW,2799,2255,2232,114204218,1856,21926469,1717,23077805,72,272444,1790,99610271,1749,23636726,177,1221349,141,1647716,13,181170,16,373577,2241,119738160,110,173198,702,213403,1713,5232438,178,1135785,268,3732392,113,713783,154,-1314918,1185,367881,1287,1092,591195
2017/2018,NSW,2800,25735,25497,1538477087,21489,338316096,19874,354778532,1157,4903200,21022,1240191157,20543,306103205,1743,11034568,1465,17038611,228,3712691,201,4707926,25598,1611299571,1462,2694049,9541,3428255,20365,69539953,2516,19287375,3528,67630829,1708,17210259,1846,-12812028,12625,3874225,15645,13346,8426021
2017/2018,NSW,2803,171,169,7522362,129,1432881,118,1397416,2,5141,116,5006244,113,1023990,19,136957,13,129345,2,5645,6,165392,171,8286258,5,5671,35,60535,115,555026,10,112756,12,246838,8,158392,4,-17706,89,28084,109,93,50515
2017/2018,NSW,2804,1400,1381,61867725,1098,11307945,968,11689772,47,191139,997,46612637,961,10355298,125,821629,113,1445977,12,230665,20,426170,1396,65862703,47,71717,264,100948,989,3116758,73,394178,176,3167747,94,761310,83,-589978,721,229462,825,709,439116
2017/2018,NSW,2805,227,221,9644738,167,1875015,150,1908905,3,12906,161,7336081,154,1594208,14,106871,12,72023,1,84,0,0,226,10248537,4,4674,38,4424,149,433454,9,85503,35,475045,18,132809,15,-90281,116,35041,138,120,63202
2017/2018,NSW,2806,480,475,22923715,390,4341909,354,4487921,11,52547,332,16592199,323,3713755,28,177816,43,498607,5,24037,1,28466,476,24186114,17,28507,109,26992,342,1084473,26,196575,67,900646,37,243672,30,-160801,265,80376,308,256,139094
2017/2018,NSW,2807,185,180,7853317,149,1362656,131,1375746,2,4824,121,4927366,115,999188,20,121696,16,195829,4,32697,6,185676,183,8395840,4,6926,28,6551,124,430316,4,17583,18,208638,9,50742,10,-20328,107,34889,89,84,51790
2017/2018,NSW,2808,73,73,2907077,53,513617,48,519071,3,11161,58,2488798,58,582047,11,54335,8,74169,0,0,0,0,73,3041263,1,750,16,7081,55,134186,5,43229,11,174135,6,41419,5,-24685,39,12403,38,29,10450
2017/2018,NSW,2809,118,115,5790673,89,1251560,82,1266477,6,22592,70,3113100,63,663111,15,112859,7,82335,1,25290,2,44936,116,6199904,4,8823,15,3962,79,404374,8,97069,7,190171,5,123613,2,-1878,46,15978,75,63,44151
2017/2018,NSW,2810,1629,1608,77784656,1294,15467690,1155,15415531,32,130102,1006,45246664,959,9788459,107,737197,138,1752451,5,57930,23,541833,1625,83401224,34,54660,435,113620,1114,4500957,98,702539,211,3706668,128,1124747,82,-469036,846,271828,1102,969,610058
2017/2018,NSW,2817,91,88,2777433,65,491220,56,494353,5,12756,55,2177976,54,485717,12,69070,3,49777,0,0,0,0,91,3042767,1,12,17,10103,57,210909,3,24771,9,157458,4,14010,3,-14235,49,16654,58,51,30701
2017/2018,NSW,2818,435,427,21714942,352,4344186,319,4565438,20,69375,334,19234251,327,4676003,23,139947,21,239472,1,1373,5,108887,432,23077055,11,11445,102,30159,305,944569,39,188768,52,742732,33,176331,19,-119477,212,63160,273,232,138988
2017/2018,NSW,2820,3140,3105,140376424,2477,25828501,2210,26535117,89,344521,2305,114909002,2249,26366089,386,2770846,271,3335244,16,156150,28,574533,3127,148553257,95,159323,990,255636,2266,6787198,223,1288363,381,5048338,190,1204933,193,-922834,1624,515499,1493,1309,791216
2017/2018,NSW,2821,2566,2529,122354387,2068,23843567,1858,24580839,68,225712,1904,96625327,1835,22090583,215,1503273,184,2349862,21,140558,18,489513,2549,128957976,87,129859,470,164766,1800,5740027,202,1312199,308,5270399,185,1271065,125,-663711,1314,414936,1589,1373,843051
2017/2018,NSW,2822,130,128,4968511,85,916040,77,972523,8,47653,89,4462320,89,1111985,7,54438,14,196129,0,0,0,0,130,5467570,2,1049,17,5517,81,354117,7,27406,13,146686,9,34815,4,-4122,59,18742,80,67,38532
2017/2018,NSW,2823,777,765,38579859,627,8277781,562,8437645,22,88545,542,26640031,510,6044761,64,400515,43,521617,5,39795,5,89451,773,41759701,17,14920,98,26950,525,2079819,46,476150,126,2679460,76,704181,50,-293156,390,119864,499,414,267305
2017/2018,NSW,2824,1217,1198,62073412,987,13325098,902,13727674,43,187797,881,43712110,839,9800444,104,721074,74,1038526,9,103056,2,38820,1211,66553709,30,43204,203,130843,882,3932787,143,1067874,159,2788965,92,587867,75,-419331,608,187190,804,695,475002
2017/2018,NSW,2825,1378,1361,72188580,1148,15316115,1041,15938047,49,167507,1036,58025385,1013,14029448,97,607524,94,1296097,6,70149,4,101949,1371,77147501,64,117021,395,172348,997,4414285,107,674004,186,2965745,96,709939,88,-491986,680,211145,773,630,405886
2017/2018,NSW,2826,106,106,5637089,90,1190552,86,1197744,4,17434,70,3781266,67,892319,7,39015,2,32380,1,5968,0,0,106,5952821,4,12313,20,6351,76,315732,9,110214,15,370808,11,96035,5,-16724,62,19165,87,68,51599
2017/2018,NSW,2827,1821,1790,77963699,1409,14591584,1252,15262316,44,142706,1290,61065109,1248,13586028,165,1071499,168,2171421,7,75258,6,155569,1813,83168109,55,67132,459,154603,1225,3701697,133,818076,226,3492347,130,960873,91,-330821,961,302399,1048,899,510454
2017/2018,NSW,2828,361,352,15200362,286,3555071,253,3557864,10,29821,207,8117274,197,1640486,20,101229,26,356059,0,0,6,56780,359,17042542,4,1634,58,360915,227,1480754,21,196359,54,903286,33,254778,20,-98473,187,62315,235,208,134186
2017/2018,NSW,2829,1480,1459,66922601,1161,14302853,1070,14772176,60,267197,1063,50824166,1032,11286746,145,1045260,79,985040,5,131607,5,221133,1467,71541469,47,79951,226,147451,1010,4001338,90,646474,197,3838321,110,730975,81,-607041,754,241232,837,703,458394
2017/2018,NSW,2830,24094,23891,1301117313,20228,263651559,18828,278143139,1032,4249062,19806,1083906317,19360,254182379,1744,11172780,1392,16524955,130,2146546,144,3593122,23954,1359489994,964,1934200,5655,2356005,18576,54720238,2083,15887399,3047,59174280,1467,13468427,1608,-9679222,12441,3792664,13896,11663,6736328
2017/2018,NSW,2831,1346,1320,58657083,1033,11627961,914,11959013,33,159521,879,45701445,844,10749675,96,686203,83,1059083,10,106485,10,252080,1335,62494430,22,30086,195,77197,837,3387026,75,537700,183,2863356,106,703608,74,-499406,660,210813,902,790,477698
2017/2018,NSW,2832,1173,1144,47888188,932,9932363,818,10156167,54,198922,898,43595430,884,10168538,193,1396944,97,1209085,6,48464,1,29783,1166,55894993,29,96437,163,42858,808,2680222,61,373507,179,3065256,68,564996,111,-641977,601,188444,592,515,348367
2017/2018,NSW,2833,249,248,10418479,192,2107284,168,2083760,13,63986,175,8692705,173,2041771,43,297526,23,339459,2,105423,1,20294,249,11422841,12,23936,37,26498,173,686577,12,78188,29,774871,15,60433,14,-114264,125,37653,133,106,75587
2017/2018,NSW,2834,907,894,35682952,680,6184150,577,6345318,35,134756,661,28898490,630,6523653,162,1160737,105,1502058,2,49556,2,39525,900,37363261,25,44411,183,65985,601,1346217,31,224283,127,2541142,75,827789,52,-248451,466,154345,391,320,147725
2017/2018,NSW,2835,2229,2197,150020306,1857,35212941,1744,36854032,64,293877,1827,135123467,1791,36895451,122,804787,107,1296254,6,69755,9,218254,2214,155199789,107,164168,480,152217,1736,4784577,180,1105521,366,5549112,123,740788,244,-1710960,844,264024,1430,1181,713897
2017/2018,NSW,2836,315,313,15787784,267,3282558,235,3264844,10,32870,227,10644775,220,2511972,38,256523,20,301987,0,0,0,0,314,16488773,4,8695,41,23818,221,662882,20,149147,18,242975,8,31293,10,-52137,171,55402,140,117,87166
2017/2018,NSW,2839,504,489,22521557,401,4425334,367,4562303,25,86716,397,19544079,387,4733346,67,471717,36,449352,0,0,0,0,499,23894461,8,19508,81,16687,342,962375,26,169859,61,797896,33,157132,29,-191062,256,79566,228,178,120127
2017/2018,NSW,2840,1328,1309,67525515,1094,13712702,995,14191927,65,258258,1044,54947462,1009,13184013,122,877307,100,1312922,3,110661,4,85374,1321,72550444,56,155578,230,84497,939,3373845,93,542034,211,3481088,106,761990,105,-583378,662,195480,738,606,376521
2017/2018,NSW,2842,271,260,9590998,190,1696099,166,1730870,6,27332,153,7384899,151,1712352,28,200037,27,484404,1,2296,1,29169,268,10056429,6,5666,46,14239,140,331750,12,121281,36,565461,17,134546,19,-71722,135,44042,170,143,81103
2017/2018,NSW,2843,696,677,30774203,509,6391377,438,6589289,17,73422,463,20981416,433,4523357,65,413076,46,618198,2,22583,11,207268,689,33225445,17,26508,105,32519,476,2064468,45,186115,105,1873334,47,314712,55,-292953,355,118713,390,330,220622
2017/2018,NSW,2844,679,665,31954478,525,6587212,465,6750372,11,61527,447,20975367,420,4805581,48,309871,59,786922,3,12518,4,119615,677,34500191,12,13132,108,130828,453,1747870,30,229175,87,1436959,48,280904,40,-187675,319,102907,443,382,278287
2017/2018,NSW,2845,1043,1035,58947890,857,12157721,801,12911143,30,108427,873,54188870,851,13625551,95,622509,70,869905,8,170658,2,28502,1037,61036013,53,84299,409,77098,835,2063136,131,778169,84,1230887,28,181567,56,-374176,491,149996,625,491,281482
2017/2018,NSW,2846,139,137,5749002,101,1027240,89,1086743,2,5031,91,4680438,87,1107892,16,113415,14,213654,0,0,1,23790,138,6018274,4,5191,27,15463,90,252392,10,73274,21,380042,15,141848,7,-13862,66,21305,78,62,40165
2017/2018,NSW,2847,1105,1096,57609559,885,11461033,803,12062652,25,84122,908,53278312,891,13174308,119,766009,78,949743,6,51017,11,242971,1099,59841211,39,65890,420,90152,867,2126567,135,934307,94,1213520,45,216159,50,-415848,529,174326,653,506,311574
2017/2018,NSW,2848,553,540,22910128,383,4123712,336,4327561,8,21122,393,19502727,377,4616912,80,580817,51,660399,0,0,3,39053,545,23840443,13,26603,133,63612,364,886852,49,242189,46,637552,31,247131,17,-59784,255,83947,224,192,131834
2017/2018,NSW,2849,790,776,38476649,580,8257713,511,8618379,19,106526,526,31869516,505,8161686,54,411652,74,881267,4,41801,5,111304,787,41147298,24,43885,200,54686,540,1630246,69,521651,119,2147419,50,533488,69,-493189,339,112812,515,438,293748
2017/2018,NSW,2850,10025,9902,582305771,8052,128437204,7407,134694369,316,1328221,7851,492056213,7636,126414061,754,4814631,610,7454865,71,1491257,72,2133570,9964,610570190,440,794857,2687,979676,7652,25498400,854,5812059,1566,29685158,706,6479713,878,-6224761,4590,1472522,6200,5247,3301893
2017/2018,NSW,2852,1812,1785,95840109,1386,20869579,1263,21803638,30,106311,1381,85113722,1357,21693558,124,729909,119,1425491,10,220581,11,233988,1802,100304410,76,139341,405,179994,1321,4091372,124,688759,233,3350664,108,851204,130,-750205,789,265412,1089,913,544682
2017/2018,NSW,2864,468,462,22568773,369,4555882,328,4748437,16,78156,339,18416550,333,4384735,21,134087,29,372290,1,46847,2,74838,465,23832390,13,29638,131,40437,340,1138582,39,207746,72,933786,37,263800,33,-223652,237,69558,307,258,172910
2017/2018,NSW,2865,478,471,23433282,376,4650359,345,4813933,9,39040,343,18983412,334,4494136,30,150992,30,364380,4,21687,1,8327,472,24690212,11,12954,139,41072,343,1184106,43,287644,68,1097026,42,292072,26,-159719,224,67070,272,247,155937
2017/2018,NSW,2866,1698,1677,92272252,1347,20645302,1229,21372695,52,191189,1221,64818958,1171,15164871,92,641824,124,1639778,13,354494,13,408553,1687,97993392,63,89143,443,278059,1224,5046419,157,1112390,274,5169649,137,1202677,138,-871991,855,269111,1102,949,604412
2017/2018,NSW,2867,308,301,13228760,239,2354184,210,2413555,5,21059,202,8882501,186,1866247,21,149836,23,305122,1,4954,3,68301,305,14441321,6,13000,79,31629,215,1167271,28,181746,36,677334,23,113922,11,-64001,163,50983,198,167,122617
2017/2018,NSW,2868,356,351,13717733,267,2509039,229,2574950,6,24592,232,9697193,219,2003807,26,199167,21,279287,3,15979,2,5795,354,14789841,4,3857,67,19125,230,1006627,15,45554,51,834893,28,246835,23,-131431,200,67577,219,200,125868
2017/2018,NSW,2869,714,699,27950815,522,5502096,448,5531468,19,69352,455,20543771,444,4832153,83,593649,72,855511,4,41080,2,44398,709,30277648,15,53268,106,40215,450,2016293,34,263796,80,1557739,51,514993,28,-207304,349,108535,387,353,222433
2017/2018,NSW,2870,6334,6274,324998339,5170,64033390,4688,66907311,184,745794,5014,274897545,4890,65734199,550,3563107,427,5120260,42,1027345,46,1284710,6307,340961667,285,426851,1763,602049,4960,14843135,538,3633183,813,12295049,367,2951313,450,-2459740,3172,1005321,3709,3086,1809295
2017/2018,NSW,2871,4851,4773,241500928,3959,48346024,3609,50168518,165,703341,3596,181515457,3497,41141927,382,2469113,341,3999218,35,606100,25,462036,4826,257395361,255,302873,1149,416471,3653,12162925,370,2720470,619,9712968,354,2883545,265,-1454495,2571,810492,2791,2331,1376989
2017/2018,NSW,2873,366,356,13182687,264,2664899,231,2676805,2,5268,200,8748683,188,1986333,22,195735,23,261281,1,4496,0,0,365,15075625,7,13850,42,18887,209,1315187,17,68637,34,585589,23,201736,11,-34248,196,60117,253,222,176796
2017/2018,NSW,2874,249,239,9968697,194,1720871,171,1664905,10,37111,150,6212544,146,1445219,22,151578,16,216934,0,0,1,5917,247,11152769,9,12713,34,16572,151,842978,7,76413,27,588759,21,164706,6,-40353,140,44213,178,156,98131
2017/2018,NSW,2875,469,457,17773100,362,3177613,324,3224565,11,35810,276,12332813,261,2702171,31,254707,36,433384,2,12959,2,77246,467,19484112,16,20482,62,20000,304,1512394,16,96594,57,939183,36,319265,21,-97140,256,89880,284,248,174768
2017/2018,NSW,2876,233,228,7238267,169,1395305,137,1395825,3,10763,132,5771566,130,1348320,29,191930,17,241791,0,0,2,21575,231,7652956,4,1450,33,11691,118,309410,10,83158,13,230378,11,110728,2,-8117,111,39511,160,140,90742
2017/2018,NSW,2877,1937,1906,87691827,1550,16712866,1385,17070202,54,196511,1371,66738648,1337,15064532,158,1063317,126,1525461,7,129858,8,230983,1931,93526908,49,77807,375,88453,1337,3581732,107,628653,169,2841374,96,816849,77,-446749,1023,325098,1043,916,609181
2017/2018,NSW,2878,177,176,11297189,148,2873229,143,2783262,5,17594,99,4684849,95,1141289,12,85453,8,99549,1,31302,0,0,176,12025956,2,1621,30,4515,119,643917,7,27521,30,721149,19,318799,11,-62878,85,29606,117,96,80482
2017/2018,NSW,2879,217,217,11935125,192,2413235,174,2455597,9,42864,165,9026887,160,2226917,34,253159,16,191220,1,6118,2,40793,217,12453886,4,9608,36,8603,159,484341,15,121584,21,284393,13,53062,11,-57188,112,35488,98,76,43151
