taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,taxOnTaxableIncomeDollars,nIndividualsWithNetTax,netTaxDollars,nIndividualsWithHelpDebt,helpDebtDollars,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,taxWithheldFromSalaryOrWagesDollars,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,lowAndMiddleIncomeTaxOffsetDollars,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2018/2019,ACT,2617,23649,23463,1533512471,20011,342437589,18683,342481080,2156,8529634,19117,1272514812,18648,334912864,1155,6824961,887,8240464,391,4557410,2546,103173730,23483,1583473955,1279,3144288,7842,5133142,17042,49303491,2372,14331478,3718,85482591,1350,10142237,2402,-23640180,16848,12991653,14449,11763,6888504
2018/2019,ACT,2900,2162,2145,147334008,1937,32696962,1838,32715871,218,826593,1812,127716352,1782,33610033,75,407627,93,850275,44,447999,240,9597364,2145,151295068,124,212941,741,354565,1628,3914307,195,1105824,295,6701822,95,575420,199,-2188933,1681,1373397,1250,1045,560939
2018/2019,ACT,2901,81,81,6547460,74,1569243,73,1578411,3,11417,60,5242320,59,1585381,1,279,3,32008,7,98619,17,563010,81,6784250,2,6058,36,19920,69,230943,8,55073,26,690674,5,24789,23,-205486,58,44254,54,50,33871
2018/2019,ACT,2902,9902,9837,664143184,8594,148659799,7964,147339685,560,2085874,7574,537756954,7430,143752493,427,2769698,600,5528914,286,2993909,1586,63237382,9845,684997959,377,565332,3969,2273052,7553,20590623,1131,6840330,1459,29712406,514,3686201,962,-8505969,7139,5525451,6788,5585,3443529
2018/2019,ACT,2903,6184,6149,417426878,5350,93544377,4990,93295313,343,1441543,4773,339658515,4670,90941240,235,1547739,321,2992992,163,1734440,935,36704893,6156,431376091,245,440214,2406,1376650,4617,13685445,735,4541573,966,19688082,342,2422169,631,-5488843,4438,3451775,4119,3360,2043322
2018/2019,ACT,2904,8756,8708,634830461,7675,148409706,7181,148063132,490,1892102,6722,504197548,6574,137192683,252,1551430,475,4105914,276,2999620,1446,58974957,8714,655977022,338,586318,3510,1787044,6833,20985287,1145,7519703,1544,32646481,497,3450557,1065,-10029605,6279,4880871,6582,5347,3345226
2018/2019,ACT,2905,18954,18849,1260923266,16784,276255405,15812,277981034,1004,3531973,16046,1100066696,15739,282990775,709,4352296,776,7749598,522,5622726,1819,66687830,18855,1299864803,798,1204726,6955,3012636,14664,38522741,2125,12494740,2542,48583791,721,4682866,1854,-15459710,14588,11643958,11945,9774,5127275
2018/2019,ACT,2906,11760,11685,798941304,10438,176748468,9882,178186528,633,2287866,10182,711265973,10005,184343225,399,2355685,440,4376943,339,3379795,1040,37231031,11690,822930805,560,886072,4366,1671246,9094,23731255,1362,7172830,1630,30586969,405,2384566,1250,-11440482,9076,7225181,7664,6089,3193477
2018/2019,ACT,2911,3096,3066,236125660,2694,56575324,2589,57835578,275,1141415,2626,211615403,2579,58079186,77,417148,67,583115,37,311458,179,7596039,3066,243530852,224,494127,1090,461303,2428,7296723,311,1681051,754,16754269,156,1034819,606,-6670501,2180,1731431,2054,1771,995182
2018/2019,ACT,2912,4930,4882,295600043,4109,63305403,3839,64067630,383,1546389,4298,270274323,4182,68592661,245,1447901,87,906225,55,624334,157,5954454,4883,304379584,296,681432,1265,578414,3459,8730549,397,2194256,842,19059659,242,1624990,621,-5983883,3540,2658293,2481,1971,991920
2018/2019,ACT,2913,24428,24209,1681323431,21183,382455475,20024,388106754,1895,7406366,20906,1489992036,20458,392562222,831,4883705,740,7269686,449,4333682,1616,60123750,24232,1733174833,1346,2683468,8097,3938578,18485,50366678,2576,15136106,4185,91226865,1052,7989938,3205,-30692429,17799,13932475,15322,12457,6783538
2018/2019,ACT,2914,19410,19224,1372893895,16852,315399586,16112,323719629,1441,5601984,17284,1285599449,16947,341197445,686,3939605,418,4266768,234,2040599,658,23443405,19229,1412931689,1276,2409673,6344,2754078,14770,39331248,1834,9591655,3790,75765759,836,4312710,3017,-28525515,14067,10992436,12068,10023,5027106
2018/2019,ACT,,234,234,15506202,203,3508651,190,3554585,13,53739,195,13493732,192,3632365,9,46062,11,111076,2,6154,10,395538,234,16172956,8,15431,72,37855,187,658693,23,195724,44,897349,16,89323,27,-275379,170,130126,123,110,60791
2018/2019,NSW,1225,54,54,24078839,45,10163862,44,10175432,2,10003,36,4716133,34,1623583,0,0,2,14695,0,0,2,66246,54,26263189,0,0,19,44618,45,2184350,7,52052,20,1053815,8,94384,12,-282941,26,19822,42,33,28341
2018/2019,NSW,1230,51,50,3985878,38,1157855,31,1186073,3,6862,26,2420970,25,759305,0,0,1,22321,0,0,1,9442,50,4171017,1,1020,9,4868,35,183418,5,80115,16,511945,7,86021,9,-223943,18,12351,36,32,26167
2018/2019,NSW,1235,59,56,3515518,41,959747,37,995823,2,4797,33,3170030,31,944500,0,0,1,22215,0,0,0,0,58,3947321,0,0,19,59643,44,319470,9,92429,26,1400744,13,260583,13,-361452,26,17169,36,30,23886
2018/2019,NSW,1240,61,58,3186062,44,867945,40,871927,1,4223,27,1886332,24,524230,0,0,0,0,0,0,0,0,60,3316070,2,3950,7,30156,44,124601,6,58729,31,1585902,22,518206,9,-147990,22,13284,26,22,13722
2018/2019,NSW,1335,61,60,9108889,49,3152906,47,3263243,1,1152,31,3856101,29,1299227,0,0,2,44637,0,0,2,45197,61,9794497,2,16175,17,95975,47,596192,8,116390,25,1380127,15,329417,10,-640571,30,24669,49,39,29629
2018/2019,NSW,1355,142,135,9493241,100,2494168,90,2567740,7,23734,83,6676416,81,2045652,1,1275,1,19941,0,0,3,94203,134,10110596,4,18399,30,20251,109,564368,6,27462,43,1339010,28,389819,15,-215357,62,49351,71,64,53303
2018/2019,NSW,1360,69,67,8654061,60,2707867,54,2780240,5,23643,41,3292473,37,1062747,0,0,1,20094,0,0,2,95105,68,9564662,1,591,24,554186,50,814074,8,118415,18,1332589,9,438326,9,-77522,33,27550,62,52,45253
2018/2019,NSW,1455,50,49,3827459,44,983639,42,1016822,2,3953,37,3393742,37,998062,0,0,1,9203,0,0,0,0,50,4029474,3,8608,16,4436,46,188133,7,38740,23,722639,10,98127,12,-80612,31,24460,29,21,13517
2018/2019,NSW,1481,61,61,4686450,34,1539746,30,1595513,2,8575,25,1703869,23,477528,1,1190,2,13933,0,0,3,46602,61,4848143,1,2292,9,23127,32,158841,1,6327,18,677064,8,75296,10,-171481,21,15264,33,27,20171
2018/2019,NSW,1485,58,56,2956782,50,588185,43,595729,2,5154,43,2362547,40,557936,2,16958,2,35669,0,0,0,0,58,3087992,1,2629,17,26634,47,123045,4,30938,17,472437,11,119740,6,-59000,41,27532,28,26,19456
2018/2019,NSW,1495,76,76,6049004,52,1766673,45,1834249,2,6399,43,3378828,39,930910,0,0,1,17975,0,0,0,0,75,6214124,1,9198,21,12945,48,165106,6,36324,17,619064,7,40594,10,-80438,37,27680,47,38,28511
2018/2019,NSW,1499,50,50,5913292,39,1986697,35,2021254,2,10591,31,2383651,29,1244263,1,5169,3,20277,0,0,2,45866,50,6021892,1,1410,18,6862,36,103186,4,31396,16,419163,12,116462,4,-40993,31,21774,33,31,23914
2018/2019,NSW,1585,62,62,5487674,49,1603763,43,1678739,3,26737,39,4358238,38,1421122,2,5048,0,0,0,0,1,10759,62,5645470,0,0,11,5191,38,157796,9,113349,20,506067,14,106759,6,-62261,29,18949,39,30,19209
2018/2019,NSW,1655,71,71,15093664,60,5690724,55,5875155,0,0,45,3069136,43,853892,0,0,5,61957,0,0,2,106063,71,17478288,0,0,19,2012155,58,2370708,9,81272,17,624621,13,254513,5,-92030,46,32655,56,47,36328
2018/2019,NSW,1660,67,64,5181581,53,1415596,48,1462803,3,17877,35,2277120,35,626138,1,2689,1,1277,0,0,0,0,64,5364420,0,0,14,6129,41,175853,5,61041,18,379572,15,175996,4,-42693,37,27692,39,37,28592
2018/2019,NSW,1675,51,48,5061035,34,1604742,32,1665903,1,4940,23,2923799,23,978393,0,0,0,0,0,0,2,108461,48,5299926,0,0,18,12299,37,208860,7,68080,21,641350,16,210236,5,-48327,21,12206,38,36,33804
2018/2019,NSW,1710,69,65,3381133,44,750669,38,765483,4,10009,36,2490163,35,673900,2,8134,2,17431,1,5065,2,47827,67,3552334,0,0,12,3224,37,111154,6,53241,25,1380470,10,198455,15,-127207,33,23459,41,37,29676
2018/2019,NSW,1750,52,51,2932893,35,686463,35,686935,1,8929,32,2474159,31,705005,1,11734,0,0,2,133603,0,0,51,3076934,2,3399,17,6629,35,119087,7,62745,16,394740,9,111617,7,-22746,30,24580,27,26,18317
2018/2019,NSW,1755,68,66,4039192,47,997748,41,992417,4,15694,48,3558638,46,993796,1,13719,3,19753,0,0,0,0,67,4191610,2,1864,13,4625,48,149668,5,24543,25,604995,10,84352,16,-136686,33,20730,38,35,22852
2018/2019,NSW,1765,78,77,5013992,55,1295107,49,1314914,1,14715,44,3361893,42,925729,2,6855,1,1490,1,2850,3,95607,77,5506801,2,7014,25,13130,54,407027,3,29038,23,839704,10,279714,13,-173653,40,29312,54,47,39140
2018/2019,NSW,1871,71,71,3973368,59,862718,59,856809,5,19186,54,3288871,53,803464,1,1007,1,232,1,1154,2,58289,71,4179218,1,646,13,5969,53,205850,3,30730,14,331187,6,71421,8,-81356,52,41171,23,22,14945
